Comment,Designator,Footprint
0.1uF,C1 C2 C3 C4 C7 C8,Capacitor_SMD:C_0201_0603Metric
1uF,C5 C6 C9,
LED,"D1,D2",LED_SMD:LED_0201_0603Metric
Micro_SD_Card,J1,Connector_Card:microSD_HC_Molex_104031-0811
100k,RaX1 R2,Resistor_SMD:R_0201_0603Metric
10k,R3,
47k,R1 R4 R5,
330ohm,R6,
1k,R7,
BMP280,U1,Package_LGA:Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering
STM32F103C8Tx,U2,Package_QFP:LQFP-48_7x7mm_P0.5mm
ICM-20602,U3,Package_LGA:LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y
MCP1700x-330xxMB,U5,Package_TO_SOT_SMD:SOT-89-3
