Designator,Mid X,Mid Y,Layer,Rotation
J1,119.82,-60.59,B,180
C1,125,-58,T,0
C2,121.345,-68,T,0
C3,116.5,-67.5,T,0
C4,117.155,-53.5,T,0
C5,114.5,-71.5,T,0
C6,119.5,-78,T,0
C7,114,-63.5,T,0
C8,119.5,-67.5,T,0
C9,119.5,-53,T,0
D1,114.5,-70,T,0
D2,125.655,-70,T,0
R1,121.5,-53,T,0
R2,121.845,-78,T,0
R3,113.845,-61.5,T,0
R4,123.32,-53,T,0
R5,115.18,-53,T,0
R6,114.68,-68.5,T,0
R7,125.845,-68,T,0
RaX1,123.68,-78,T,0
U1,122.675,-70.2,T,0
U2,120,-62,T,0
U3,118.275,-70,T,0
U5,116.5,-74.5,T,0
